feature,legacy_global,pitcher_expert,regular_expert,futures_expert,mean_importance
li_x_runners,0.15086268818722912,0.0,1.6078454716906643,0.7406043577123715,0.6248281293975662
pitcher_success_form_5,0.19993097399802634,0.0,0.45165664607715783,1.7084249254524568,0.5900031363819103
asof_pitcher_middle_rate,0.0,0.0,1.091186805875365,1.14437986253042,0.5588916671014463
pitcher_relative_success,0.0,1.626545103320429,0.37460613959525363,0.10969978205166717,0.5277127562418374
batter_success_shrink_200,0.0,0.0,0.36508391754209035,1.684203518819032,0.5123218590902806
pitcher_reliability_1000,0.3195140969683537,0.0,1.0014561470326135,0.7136908545198449,0.5086652746302031
pitchmix_entropy,0.0,0.3682099374075829,0.6577793042948599,0.9953673905680834,0.5053391580676315
fastball_minus_breaking,0.0,0.0,0.2656959994862497,1.7401614189416605,0.5014643546069776
pitcher_relative_to_f_prior,0.0,0.0,1.3767304977848929,0.5808714601505354,0.48940048948385706
is_two_strike,0.2998859834680812,0.0,0.5657914888797121,1.044131524272116,0.47745224915497736
batter_relative_success,0.0,0.0,1.060792880139441,0.8287733223770952,0.47239155062913407
pitcher_relative_historical,0.0,0.7302628089576053,0.3354882127679109,0.8193432555701687,0.4712735693239212
li_x_three_ball,0.3028886922252378,0.0,0.46328670718140025,1.11283190288007,0.469751825571677
asof_pitcher_n,0.0825167023988219,0.0,0.7262993080231153,1.0347259452785924,0.46088548892513237
game_month,0.0,0.0,1.165746828597613,0.6427580255940323,0.45212621354791127
li_x_score_diff,0.0,0.0,0.2015569201929337,1.5992857110733036,0.45021065781655933
pitcher_success_prev3_minus_prev5,0.0,0.0,0.6585400092821608,1.1092459898728095,0.44194649978874256
batter_success_shrink_50,0.0,0.0,0.6991381343086154,1.0635756787480894,0.4406784532641762
li,0.12560260775286328,0.0,0.4349134427090737,1.1528882909468,0.42835108535218425
asof_pitcher_prev3_game_middle_rate,0.0,0.0,0.48464374598389054,1.0552440447147984,0.38497194767467224
pitcher_hand,0.0,0.0,0.3474138647928401,1.1367695621707572,0.3710458567408993
is_three_ball,0.7067106365128061,0.0,0.6825904612864859,0.0,0.347325274449823
inning_x_score_diff,0.0,0.0,0.13925545966889216,1.2263293300406781,0.3413961974273926
pitcher_middle_form_1,0.0,0.0,0.2981275752815759,1.0009338035626216,0.3247653447110494
asof_batter_n,0.0,0.0,0.5710603522928084,0.7268864077025954,0.32448668999885094
pitcher_success_prev1_minus_prev5,0.0,0.0,0.20768590670626721,1.0853871484368707,0.3232682637857845
legacy_pitcher_relative_success,1.2915365841406843,0.0,0.0,0.0,0.32288414603517107
game_dayofweek,0.0,0.0,0.0,1.2618634731974878,0.31546586829937195
batter_hand,0.0,0.0,0.40866180894515414,0.8188585257304152,0.3068800836688923
outs_before,0.0,0.0,0.5553292901785375,0.6362232960660352,0.29788814656114315
run_bot_before,0.0,0.0,0.18242742346717766,1.0015173662893895,0.2959861974391418
season_prior_rate,1.1622462761997647,0.0,0.0,0.0,0.2905615690499412
legacy_pitcher_success_shrink_200,1.1367401845656213,0.0,0.0,0.0,0.28418504614140533
home_win_expectancy,0.0,0.0,0.07508183013822747,1.0018291872771043,0.26922775435383295
run_top_before,0.0,0.0,0.32468388688658484,0.6900682083859658,0.25368802381813765
asof_pitcher_prev1_game_middle_rate,0.0,0.0,0.21396566788753285,0.7658692078360325,0.24495871893089133
pitcher_middle_form_5,0.06277467047382022,0.0,0.5026353476286782,0.40971748136093306,0.2437818748658579
